일련번호,지역,업력,대출년도,대출금액(백만원),업종
532,인천,5년미만,2021,100,
533,대구,15년미만,2021,200,
534,경기,20년미만,2021,50,
535,인천,15년미만,2021,100,
536,경기,5년미만,2021,200,
537,강원,10년미만,2021,100,
538,경기,20년미만,2021,50,
539,경기,15년미만,2021,100,
540,경기,5년미만,2021,150,
541,강원,7년미만,2021,200,
542,경기,5년미만,2021,100,
543,경북,15년미만,2021,200,
544,부산,7년미만,2021,300,
545,경북,15년미만,2021,200,
546,전북,3년미만,2021,100,
547,전북,7년미만,2021,200,
548,경기,20년이상,2021,200,
549,서울,3년미만,2021,50,
550,인천,20년미만,2021,150,
551,경기,20년이상,2021,100,
552,대구,15년미만,2021,50,
553,대구,7년미만,2021,100,
554,대전,20년미만,2021,100,
555,충남,20년미만,2021,300,
556,경북,10년미만,2021,100,
557,대구,15년미만,2021,200,
558,광주,20년이상,2021,100,
559,대구,15년미만,2021,100,
560,인천,20년미만,2021,50,
561,전남,10년미만,2021,100,
562,경기,3년미만,2021,100,
563,충북,7년미만,2021,100,
564,경기,3년미만,2021,50,
565,경기,10년미만,2021,150,
566,경기,10년미만,2021,50,
567,경기,20년이상,2021,50,
568,경북,15년미만,2021,100,
569,경기,20년미만,2021,70,
570,전남,7년미만,2021,300,
571,인천,20년이상,2021,50,
572,경기,20년미만,2021,100,
573,충남,10년미만,2021,200,
574,전북,10년미만,2021,160,
575,대구,7년미만,2021,100,
576,서울,10년미만,2021,50,
577,인천,20년미만,2021,50,
578,경남,5년미만,2021,200,
579,경기,5년미만,2021,50,
580,경기,10년미만,2021,50,
581,제주,15년미만,2021,270,
582,경북,20년이상,2021,200,
583,대전,7년미만,2021,200,
584,경기,15년미만,2021,150,
585,경기,20년미만,2021,150,
586,충남,15년미만,2021,200,
587,경기,20년미만,2021,150,
588,광주,10년미만,2021,150,
589,경기,15년미만,2021,100,
590,대구,15년미만,2021,300,
591,대구,20년이상,2021,100,
592,대구,15년미만,2021,100,
593,경기,15년미만,2021,180,
594,대구,10년미만,2021,50,
595,경기,3년미만,2021,40,
596,경기,10년미만,2021,100,
597,부산,10년미만,2021,200,
598,대구,20년이상,2021,100,
599,경북,7년미만,2021,100,
600,경북,5년미만,2021,100,
601,경남,10년미만,2021,100,
602,경기,20년미만,2021,100,
603,울산,20년미만,2021,100,
604,전남,15년미만,2021,150,
605,경기,15년미만,2021,150,
606,서울,5년미만,2021,70,
607,서울,5년미만,2021,500,
608,인천,10년미만,2021,100,
609,인천,7년미만,2021,50,
610,경기,15년미만,2021,100,
611,부산,20년이상,2021,100,
612,부산,15년미만,2021,50,
613,서울,15년미만,2021,300,
614,전북,10년미만,2021,100,
615,경기,20년이상,2021,50,
616,전남,15년미만,2021,500,
617,경기,15년미만,2021,80,
618,충남,20년이상,2021,80,
619,대구,15년미만,2021,200,
620,대구,20년이상,2021,150,
621,경기,3년미만,2021,100,
622,경북,10년미만,2021,100,
623,경기,20년이상,2021,100,
624,경기,15년미만,2021,100,
625,경기,3년미만,2021,100,
626,경남,5년미만,2021,100,
627,충북,3년미만,2021,50,
628,경기,10년미만,2021,150,
629,경기,20년미만,2021,100,
630,경기,20년이상,2021,100,
631,경기,10년미만,2021,200,
632,인천,15년미만,2021,100,
633,경남,10년미만,2021,200,
634,서울,15년미만,2021,100,
635,울산,5년미만,2021,100,
636,인천,15년미만,2021,200,
637,경북,5년미만,2021,100,
638,대구,10년미만,2021,150,
639,서울,20년미만,2021,100,
640,강원,15년미만,2021,200,
641,강원,20년미만,2021,200,
642,경기,20년이상,2021,200,
643,경남,15년미만,2021,50,
644,경기,15년미만,2021,100,
645,경남,15년미만,2021,100,
646,경남,15년미만,2021,200,
647,경기,20년미만,2021,50,
648,부산,20년미만,2021,200,
649,광주,7년미만,2021,200,
650,광주,5년미만,2021,200,
651,울산,20년미만,2021,120,
652,서울,10년미만,2021,100,
653,서울,20년이상,2021,200,
654,경기,5년미만,2021,150,
655,서울,15년미만,2021,150,
656,전북,15년미만,2021,200,
657,전북,7년미만,2021,100,
658,전북,15년미만,2021,150,
659,경남,20년미만,2021,300,
660,강원,20년미만,2021,100,
661,경기,15년미만,2021,500,
662,서울,5년미만,2021,100,
663,서울,5년미만,2021,100,
664,인천,20년이상,2021,100,
665,서울,15년미만,2021,200,
666,경남,3년미만,2021,200,
667,경기,5년미만,2021,200,
668,경기,7년미만,2021,100,
669,경기,15년미만,2021,250,
670,대전,15년미만,2021,50,
671,광주,20년미만,2021,50,
672,경기,5년미만,2021,50,
673,경기,15년미만,2021,100,
674,광주,20년이상,2021,150,
675,서울,5년미만,2021,150,
676,충북,10년미만,2021,100,
677,경기,20년미만,2021,100,
678,대전,15년미만,2021,200,
679,경북,10년미만,2021,50,
680,전북,20년이상,2021,200,
681,부산,20년미만,2021,200,
682,경북,10년미만,2021,50,
683,경기,20년미만,2021,80,
684,경기,10년미만,2021,100,
685,충북,7년미만,2021,100,
686,경기,20년미만,2021,50,
687,대구,15년미만,2021,200,
688,경기,7년미만,2021,150,
689,경남,20년이상,2021,200,
690,인천,10년미만,2021,20,
691,인천,10년미만,2021,30,
692,서울,3년미만,2021,150,
693,서울,10년미만,2021,300,
694,강원,20년이상,2021,300,
695,인천,20년미만,2021,50,
696,경기,20년이상,2021,150,
697,인천,20년이상,2021,100,
698,경기,20년미만,2021,200,
699,경기,7년미만,2021,30,
700,인천,3년미만,2021,100,
701,인천,15년미만,2021,80,
702,경기,20년미만,2021,200,
703,서울,7년미만,2021,100,
704,경기,7년미만,2021,150,
705,경기,20년이상,2021,100,
706,경기,20년미만,2021,150,
707,경남,7년미만,2021,100,
708,인천,20년미만,2021,30,
709,경남,7년미만,2021,200,
710,서울,15년미만,2021,300,
711,경남,20년미만,2021,100,
712,부산,7년미만,2021,150,
713,경남,3년미만,2021,300,
714,경기,10년미만,2021,80,
715,전남,10년미만,2021,200,
716,경기,5년미만,2021,50,
717,경기,3년미만,2021,70,
718,대구,20년이상,2021,100,
719,대전,20년이상,2021,50,
720,대구,15년미만,2021,100,
721,경기,10년미만,2021,100,
722,경기,3년미만,2021,100,
723,전남,3년미만,2021,200,
724,전남,10년미만,2021,50,
725,서울,3년미만,2021,150,
726,경기,15년미만,2021,100,
727,경기,5년미만,2021,100,
728,경기,3년미만,2021,100,
729,충북,10년미만,2021,200,
730,충북,15년미만,2021,50,
731,경기,10년미만,2021,150,
732,경남,3년미만,2021,100,
733,경북,10년미만,2021,100,
734,경기,10년미만,2021,150,
735,경기,15년미만,2021,100,
736,경기,15년미만,2021,50,
737,경기,20년이상,2021,100,
738,인천,20년미만,2021,100,
739,경기,10년미만,2021,50,
740,전북,7년미만,2021,100,
741,경기,7년미만,2021,50,
742,부산,15년미만,2021,100,
743,경기,20년미만,2021,100,
744,경남,15년미만,2021,200,
745,서울,5년미만,2021,500,
746,충북,15년미만,2021,200,
747,충북,10년미만,2021,200,
748,전북,7년미만,2021,100,
749,경기,20년미만,2021,200,
750,인천,5년미만,2021,50,
751,경기,7년미만,2021,50,
752,대구,10년미만,2021,200,
753,경기,7년미만,2021,100,
754,경기,5년미만,2021,150,
755,서울,3년미만,2021,100,
756,전남,7년미만,2021,50,
757,인천,20년미만,2021,150,
758,전남,5년미만,2021,100,
759,경기,7년미만,2021,80,
760,인천,10년미만,2021,50,
761,경기,20년미만,2021,250,
762,경기,15년미만,2021,100,
763,충북,20년이상,2021,150,
764,서울,3년미만,2021,300,
765,대전,10년미만,2021,200,
766,대구,7년미만,2021,100,
767,경기,10년미만,2021,100,
768,경기,20년이상,2021,100,
769,경기,20년이상,2021,100,
770,대전,20년미만,2021,300,
771,인천,3년미만,2021,50,
772,서울,5년미만,2021,100,
773,전북,10년미만,2021,100,
774,제주,15년미만,2021,50,
775,경기,10년미만,2021,30,
776,서울,10년미만,2021,150,
777,서울,3년미만,2021,200,
778,부산,15년미만,2021,500,
779,경기,10년미만,2021,50,
780,충남,15년미만,2021,300,
781,경북,3년미만,2021,70,
782,경기,20년이상,2021,50,
783,경기,20년이상,2021,50,
784,경기,10년미만,2021,150,
785,서울,15년미만,2021,100,
786,경북,7년미만,2021,100,
